# index, id, name, non_attrition, attrition, _pos
125,537916,University of Heidelberg,0,0,"array([-2.23602226,  5.54703764])"
126,538229,University of Sofia,0,0,"array([-1.99258842,  5.4297944 ])"
127,537996,Dalhousie University,0,0,"array([-2.20291172,  5.58682521])"
128,542312,University of Oslo,0,0,"array([-2.2577554 ,  5.34879425])"
129,620970,Kharkiv National University,0,0,"array([-2.3958428 ,  5.46899683])"
130,538094,University of Montpellier,0,0,"array([-2.04163824,  5.3324008 ])"
131,689798,Korea Advanced Institute of Science and Technology,0,0,"array([-2.08734452,  5.34867934])"
132,557282,Vilnius University,0,0,"array([-2.03427846,  5.2226312 ])"
133,555795,B. Verkin Institute for Low Temperature Physics and Engineering,0,0,"array([-2.50273111,  5.36511646])"
134,556544,National Institute of Pure and Applied Mathematics,0,0,"array([-2.40963618,  5.22659408])"
135,543535,Universite Libre de Bruxelles,0,0,"array([-2.1030642 ,  5.27196089])"
136,537950,Queen Mary University of London,0,0,"array([-1.93518743,  5.52305562])"
137,12,Arizona State,326,99,"array([-2.11055493,  5.45629145])"
138,538200,University of Lausanne,0,0,"array([-2.31203043,  5.48894736])"
139,190,South Dakota State,9,7,"array([-2.05145698,  5.51699321])"
140,540176,Paul Sabatier University,0,0,"array([-2.06153071,  5.65246828])"
141,557427,Delft University of Technology,0,0,"array([-2.22339982,  5.35557674])"
142,557811,Graduate School and University Center (CUNY),0,0,"array([-2.21928517,  5.39796529])"
143,279,University of Illinois Chicago,100,26,"array([-2.0724187 ,  5.45146188])"
144,148,North Carolina State,122,33,"array([-2.17636393,  5.52335734])"
145,281,University of Iowa,285,97,"array([-2.14623481,  5.46054177])"
146,210,Syracuse,189,66,"array([-2.18061076,  5.50321564])"
147,204,University at Buffalo (SUNY),124,39,"array([-2.10290413,  5.45150822])"
148,282,University of Kansas,247,82,"array([-2.14987363,  5.48257173])"
149,270,University of Delaware,76,21,"array([-2.14307389,  5.52650777])"
150,538074,University of Warsaw,0,0,"array([-2.2579664 ,  5.54614363])"
151,555331,KTH Royal Institute of Technology,0,0,"array([-2.01884697,  5.60722849])"
152,539410,University of Saarland,0,0,"array([-2.33518135,  5.36839049])"
153,537919,University of Minnesota - Duluth,0,0,"array([-2.36839982,  5.38494511])"
154,538162,Eotvos Lorand University,0,0,"array([-2.25750896,  5.57629459])"
155,622098,Southern Federal University,0,0,"array([-2.1305456 ,  5.78177866])"
156,24,Boston University,147,44,"array([-2.11932058,  5.48227479])"
157,55,Dartmouth,23,2,"array([-2.07814506,  5.50410722])"
158,304,University of Missouri,217,78,"array([-2.1701891 ,  5.41183891])"
159,273,University of Florida,356,111,"array([-2.11830807,  5.54261728])"
160,537190,Hebrew University of Jerusalem,0,0,"array([-2.11104167,  5.38750273])"
161,559140,Courant Institute of Mathematical Sciences,0,0,"array([-2.32484256,  5.25965115])"
162,558882,Technical University of Munich,0,0,"array([-2.04838161,  5.42270626])"
163,542093,University of Basel,0,0,"array([-2.04481236,  5.57235001])"
164,540162,University of Nice,0,0,"array([-2.3276434 ,  5.63905019])"
165,543788,Cranfield Institute of Technology,0,0,"array([-2.45045256,  5.29819047])"
166,555174,Eastern Illinois University,0,0,"array([-2.17458133,  4.85606697])"
167,348,University of Wisconsin-Milwaukee,74,18,"array([-2.13130033,  5.49226258])"
168,81,Georgetown,77,27,"array([-2.15883587,  5.45938071])"
169,171,Rensselaer Polytechnic Institute,16,8,"array([-2.13010836,  5.42409807])"
170,283,University of Kentucky,189,52,"array([-2.12978964,  5.58437851])"
171,244,University of Alabama at Birmingham,28,8,"array([-2.10920967,  5.51779159])"
172,558871,RWTH Aachen University,0,0,"array([-2.28040565,  5.41247371])"
173,537188,Loughborough University,0,0,"array([-2.05804915,  5.25401709])"
174,689789,"University College, Cork",0,0,"array([-2.18223692,  5.74143904])"
175,48,Colorado State,94,22,"array([-2.16256549,  5.50907593])"
176,161,Oregon State,54,18,"array([-2.11345462,  5.43513386])"
177,557714,Aalto University,0,0,"array([-2.16963031,  5.78030986])"
178,689814,"Academy of Sciences, Ukraine",0,0,"array([-2.18467734,  5.32664688])"
179,212,Temple,98,39,"array([-2.12555529,  5.53705423])"
180,539204,University of Paris - Campus Unknown,0,0,"array([-2.23122669,  5.57423753])"
181,404,Yeshiva,5,3,"array([-2.09962024,  5.58144541])"
182,544301,Scuola Normale Superiore of Pisa,0,0,"array([-2.2628226 ,  5.59901051])"
183,689767,"Indian Statistical Institute, Bengaluru",0,0,"array([-2.3406963 ,  5.43033052])"
184,259,UC Santa Cruz,94,19,"array([-2.16819456,  5.55579822])"
185,548079,University of Paris IX (Paris Dauphine University),0,0,"array([-2.33161841,  5.702102  ])"
186,558891,University of Adelaide,0,0,"array([-2.02696657,  5.40946302])"
187,540886,University of Graz,0,0,"array([-1.96099332,  5.64658605])"
188,538153,Uppsala University,0,0,"array([-2.2210801 ,  5.61378689])"
189,547038,University of Calcutta,0,0,"array([-2.27565458,  5.52628232])"
190,548563,Claude-Bernard University,0,0,"array([-1.99210535,  5.57691155])"
191,558862,Lund University,0,0,"array([-1.99500069,  5.46457027])"
192,541540,Leningrad State University,0,0,"array([-2.30284899,  5.54906413])"
193,539051,Kyoto University,0,0,"array([-2.04939762,  5.40891614])"
194,689791,University of Braunschweig,0,0,"array([-1.85782365,  5.30721766])"
195,542738,University of Sao Paulo,0,0,"array([-2.1451002 ,  5.36745225])"
196,83,Georgia State,74,19,"array([-2.10463158,  5.51022885])"
197,332,University of South Carolina,125,41,"array([-2.14063554,  5.51629631])"
198,313,University of New Hampshire,23,8,"array([-2.10740908,  5.4672398 ])"
